i,infec_list_FB,infec_list_BA,early_deg_FB,early_deg_BA,speed_list_FB,speed_list_BA
0.01,2095.55,3987.4,88.98965666614205,74.78001609049328,68.41607142857144,148.78306369556367
0.02,3468.7,4039.0,76.53048967070482,66.04160572457336,120.49894179894179,254.95566935107377
0.03,3726.75,4039.0,68.20954503522287,58.03269396543825,136.22247476597474,369.78999999999996
0.04,3882.3,4039.0,63.76800473660842,51.62606526510101,144.73464997964996,454.3018055555555
0.05,3959.95,4039.0,63.3354880857393,49.23687750165688,154.03230018130017,551.8306547619048
0.060000000000000005,3980.5,4039.0,59.39073113130358,47.61051255870869,162.49676633149463,610.3238095238096
0.06999999999999999,4008.7,4039.0,55.698296713244005,43.3732941187127,174.04151551226553,690.4883333333333
0.08,4017.35,4039.0,54.99208963969208,39.086127507759485,186.4326606536103,742.9275
0.09,4027.65,4039.0,53.42278066728901,37.83469720063316,200.25674367514148,732.35
0.09999999999999999,4031.4,4039.0,52.7449631814625,35.146742041331855,211.59939012733238,760.3708333333333
0.11,4033.1,4039.0,48.72208542122413,34.60469391946897,231.68145021013743,745.3208333333334
0.12,4034.45,4039.0,46.956870593555834,31.78164431824457,245.62005903238492,655.575
0.13,4036.2,4039.0,47.61761293294908,30.430819809748005,257.662704966602,622.9041666666666
0.14,4037.0,4039.0,45.90200424289886,29.51893189555286,277.68315410466727,612.7833333333334
0.15000000000000002,4037.45,4039.0,43.70311099363071,27.94477704584628,290.6450737497796,684.225
0.16,4037.65,4039.0,44.254679890199576,27.772225223409386,302.9150120957474,715.8833333333333
0.17,4037.8,4039.0,42.799683974980546,26.453542416031496,323.87896409146407,471.83333333333337
0.18000000000000002,4038.4,4039.0,42.19266961503822,26.060429615038764,344.65315427434626,435.0833333333333
0.19,4038.55,4039.0,39.9190987740451,25.547697829255608,355.5810556110556,322.45
0.2,4038.8,4039.0,40.42227935481073,24.964103875741856,373.47057539682544,251.25
