decay,infec_list_FB,infec_list_BA,early_deg_FB,early_deg_BA,speed_list_FB,speed_list_BA
0.01,541,865,14.702385762385763,32.00555209785129,11.727272727272727,22.46153846153846
0.01,436,801,9.574152661064426,31.760890839524745,7.65,21.25
0.01,414,811,9.575528083028084,31.630837585453623,6.476190476190476,19.923076923076923
0.01,446,822,12.524230871467713,32.83907434278757,7.904761904761905,19.703703703703702
0.01,443,847,12.114563462852937,32.853598251052404,8.45,21.5
0.01,379,825,17.54156288156288,30.93566982470544,6.117647058823529,21.2
0.01,520,844,17.64690084267409,32.44222057493821,10.863636363636363,21.5
0.01,351,799,22.766785714285714,31.99471949206985,5.384615384615385,19.5
0.01,401,880,12.618676470588237,33.51515677221848,8.066666666666666,23.0
0.01,471,838,14.505596336031118,31.4994478955386,9.047619047619047,21.26923076923077
0.01,412,856,20.101785714285715,31.846873142692267,6.285714285714286,22.92
0.01,473,837,17.258368583171215,32.608482814892554,8.954545454545455,21.115384615384617
0.01,619,830,14.3324411976912,32.105681913325675,13.32,20.76923076923077
0.01,596,864,17.43610570322527,31.824090298915614,13.434782608695652,22.72
0.01,381,817,26.086418809948224,32.288809192097894,5.611111111111111,20.576923076923077
0.01,539,793,18.116495766488413,30.62645822020168,10.875,20.24
0.01,382,872,21.55625541125541,32.676692522625636,5.3,22.807692307692307
0.01,445,838,14.546378205128207,30.907295511684914,8.25,21.8
0.01,436,787,9.259574314574316,32.36891598053363,8.666666666666666,20.208333333333332
0.01,406,862,14.413872238872239,31.84617014419188,8.125,22.8
0.0311,610,872,17.73300558213716,31.666067962755154,13.5,23.28
0.0311,849,874,18.78120164011407,31.30905290831574,22.4,22.346153846153847
0.0311,626,853,18.846586831043354,31.87941889401448,14.73913043478261,21.73076923076923
0.0311,364,829,22.92,31.338565322220592,4.882352941176471,21.36
0.0311,414,823,18.669226190476188,33.03891727245543,6.75,21.16
0.0311,523,857,17.23549603174603,31.812602756127763,9.958333333333334,21.846153846153847
0.0311,457,845,22.80515514069694,30.993184101929234,8.523809523809524,22.16
0.0311,649,836,17.92426590974385,32.10994653334327,15.521739130434783,21.153846153846153
0.0311,455,870,15.96576479076479,32.88246509731403,9.157894736842104,22.384615384615383
0.0311,443,852,18.354065934065936,30.34471117851671,7.714285714285714,21.76923076923077
0.0311,458,844,16.538789682539683,31.776636092102628,8.181818181818182,21.26923076923077
0.0311,444,842,15.477288267288268,32.230315791657304,9.333333333333334,22.0
0.0311,433,832,13.834628237259816,31.41450226317796,8.052631578947368,21.153846153846153
0.0311,586,800,19.583821354084513,31.626893091741334,13.727272727272727,20.36
0.0311,432,851,7.926507936507937,31.67075408579168,7.35,21.807692307692307
0.0311,469,831,19.193365917236886,31.888923746756227,8.681818181818182,20.96153846153846
