i,infec_list_FB,infec_list_BA,early_deg_FB,early_deg_BA,speed_list_FB,speed_list_BA
0.0,4,4,0.0,0.0,0.0,0.0
0.0,4,4,0.0,0.0,0.0,0.0
0.0,4,4,0.0,0.0,0.0,0.0
0.0,4,4,0.0,0.0,0.0,0.0
0.0,4,4,0.0,0.0,0.0,0.0
0.0,4,4,0.0,0.0,0.0,0.0
0.0,4,4,0.0,0.0,0.0,0.0
0.0,4,4,0.0,0.0,0.0,0.0
0.0,4,4,0.0,0.0,0.0,0.0
0.0,4,4,0.0,0.0,0.0,0.0
0.0,4,4,0.0,0.0,0.0,0.0
0.0,4,4,0.0,0.0,0.0,0.0
0.0,4,4,0.0,0.0,0.0,0.0
0.0,4,4,0.0,0.0,0.0,0.0
0.0,4,4,0.0,0.0,0.0,0.0
0.0,4,4,0.0,0.0,0.0,0.0
0.0,4,4,0.0,0.0,0.0,0.0
0.0,4,4,0.0,0.0,0.0,0.0
0.0,4,4,0.0,0.0,0.0,0.0
0.0,4,4,0.0,0.0,0.0,0.0
0.0022,45,599,2.4,72.625,0.3333333333333333,16.821428571428573
0.0022,17,62,13.1,7.7,0.0,0.8695652173913043
0.0022,303,286,99.71000000000001,17.6,8.962962962962964,7.857142857142857
0.0022,399,527,64.94666666666667,61.958333333333336,11.857142857142858,14.571428571428571
0.0022,7,266,0.0,20.65,0.0,7.214285714285714
0.0022,19,160,7.2,26.4,0.0,3.142857142857143
0.0022,71,194,28.6,28.85,1.25,4.857142857142857
0.0022,332,136,51.7,48.35,8.928571428571429,2.8518518518518516
0.0022,48,245,2.4,17.2,0.47619047619047616,6.5
0.0022,62,43,37.15,0.0,1.1363636363636365,0.3333333333333333
0.0022,52,46,3.9,0.0,0.6363636363636364,0.4782608695652174
0.0022,49,233,10.7,63.75,0.6190476190476191,6.0
0.0022,411,231,86.95833333333334,38.4,12.5,5.666666666666667
0.0022,228,367,92.5,85.16666666666667,6.592592592592593,9.964285714285714
0.0022,543,30,144.46268728004023,8.8,17.40740740740741,0.0
0.0022,35,210,9.6,95.9,0.09090909090909091,5.25
0.0022,510,148,55.3,25.4,15.428571428571429,3.5555555555555554
0.0022,13,323,1.3,68.0,0.0,8.428571428571429
0.0022,18,39,3.1,15.1,0.0,0.29411764705882354
0.0022,278,54,13.8,5.2,7.037037037037037,0.85
0.0044,456,1428,63.1,30.9,11.964285714285714,37.714285714285715
0.0044,1245,1496,89.48,25.25,41.535714285714285,39.285714285714285
0.0044,1074,1903,63.09333333333334,64.86666666666666,34.0,54.75
0.0044,175,2129,17.4,60.904999999999994,4.444444444444445,63.714285714285715
0.0044,261,1456,12.2,41.083333333333336,6.357142857142857,39.357142857142854
0.0044,793,1304,118.13502801120448,36.55,24.964285714285715,33.67857142857143
0.0044,963,2188,100.66626984126984,55.8,30.785714285714285,65.67857142857143
0.0044,612,1546,161.13736901030003,40.71666666666667,20.37037037037037,42.42857142857143
0.0044,10,2036,0.0,74.65714285714286,0.0,59.035714285714285
0.0044,1309,2740,124.17305961032193,85.47922222222223,42.75,86.46428571428571
0.0044,548,813,30.4,15.4,15.0,19.428571428571427
0.0044,967,2541,61.787222222222226,76.02863247863249,29.25,78.42857142857143
0.0044,308,2011,7.9,57.95166666666667,7.892857142857143,59.607142857142854
0.0044,555,2138,110.59583333333335,56.42269841269841,18.25925925925926,63.0
0.0044,48,2107,11.2,54.45222222222221,0.5238095238095238,61.67857142857143
0.0044,409,1791,76.71166666666667,39.07142857142857,10.928571428571429,51.642857142857146
0.0044,1340,2348,122.13469826969829,86.98833333333333,43.607142857142854,70.96428571428571
0.0044,719,471,84.63111111111111,22.3,20.321428571428573,10.214285714285714
0.0044,588,2297,58.645833333333336,86.61166666666666,18.571428571428573,69.60714285714286
0.0044,981,1312,131.5945238095238,23.8,31.107142857142858,34.535714285714285
0.0066,1431,3500,148.43203288190628,58.18301587301587,48.035714285714285,117.25
0.0066,1816,3350,86.4759875349237,54.271428571428565,58.964285714285715,108.39285714285714
0.0066,803,3564,34.25833333333333,70.17233159392791,21.071428571428573,120.17857142857143
0.0066,2326,3553,115.3852949341792,55.3751893939394,77.78571428571429,119.17857142857143
0.0066,1447,3725,82.31750898055246,90.91755766463946,47.07142857142857,127.57142857142857
0.0066,1524,3115,97.28780663780664,48.46166666666666,49.714285714285715,97.89285714285714
0.0066,1836,3705,124.55908314876338,87.40403999499136,61.0,126.92857142857143
0.0066,1076,3580,38.05583333333333,90.39149599442702,31.178571428571427,121.64285714285714
0.0066,1644,3500,60.21619047619048,68.11474358974358,50.57142857142857,117.46428571428571
0.0066,1782,3711,126.3226820477295,122.21395134990205,57.964285714285715,128.0
0.0066,1829,3315,60.59809523809524,59.60535714285716,57.92857142857143,109.67857142857143
0.0066,1240,3646,96.4878787878788,105.85718984028884,39.07142857142857,124.78571428571429
0.0066,758,1448,5.7,6.8,20.571428571428573,34.142857142857146
0.0066,1554,3633,80.04530555929466,80.59377795815297,48.285714285714285,123.64285714285714
0.0066,1459,3695,121.36041161736814,78.84782737959209,47.642857142857146,127.03571428571429
0.0066,460,3531,32.075,69.87357142857142,14.074074074074074,119.35714285714286
0.0066,1085,3630,53.54642857142858,67.52333916083917,35.464285714285715,123.89285714285714
0.0066,1845,3566,137.5872259984611,105.1954651079651,60.035714285714285,120.21428571428571
0.0066,1199,3513,138.23328821388503,68.30454545454545,37.535714285714285,117.14285714285714
0.0066,1273,3627,135.32895004118689,82.51874847374847,40.57142857142857,123.25
0.0088,2185,3939,90.74780487757343,81.23185147733436,71.28571428571429,142.07407407407408
0.0088,2007,3987,90.1128406090477,97.16609873459873,64.28571428571429,145.07407407407408
0.0088,2284,3893,92.75604032604033,92.25953201970444,73.28571428571429,135.78571428571428
0.0088,2515,3933,115.65178511160934,70.75575980392156,82.92857142857143,141.8148148148148
0.0088,2187,3983,122.1812526360259,70.87685155626471,71.5,145.11111111111111
0.0088,1863,3957,114.16285129521016,93.26405145310943,60.285714285714285,143.85185185185185
