i_init,infec_list_FB,infec_list_BA,early_deg_FB,early_deg_BA,speed_list_FB,speed_list_BA
0.01,284,607,23.226031612066095,37.2057453547658,9.857142857142858,20.23076923076923
0.01,237,568,17.072161172161167,34.516432374854574,7.9,18.423076923076923
0.01,205,457,8.57176531071268,38.4408487754076,6.947368421052632,14.192307692307692
0.01,264,457,20.502610215871087,34.49358594552648,8.80952380952381,14.26923076923077
0.01,280,553,9.12256843800322,37.66904718848453,9.95,17.73076923076923
0.01,227,526,20.052158674658678,34.95597715970446,7.842105263157895,17.64
0.01,263,506,21.98187257187257,37.36236541826729,9.789473684210526,16.76
0.01,347,582,14.628316121330993,32.85108121125363,11.391304347826088,19.56
0.01,243,556,10.129490705373058,33.79462288894338,8.736842105263158,17.73076923076923
0.01,115,468,7.258333333333335,34.19269771894771,4.625,14.346153846153847
0.01,281,561,19.65772875816993,34.27707526107076,10.2,18.53846153846154
0.01,252,518,20.961035893930635,33.305526818886484,8.85,16.73076923076923
0.01,213,556,17.75378787878788,36.43156226896673,7.2631578947368425,18.03846153846154
0.01,185,486,12.834722222222222,37.99979299063509,7.0625,15.461538461538462
0.01,266,511,21.077943576890945,36.80484593426645,8.636363636363637,16.346153846153847
0.01,242,616,15.493982683982685,34.402305471601814,8.88888888888889,20.346153846153847
0.01,164,488,25.56969696969697,34.27241968042277,5.733333333333333,15.346153846153847
0.01,181,514,37.83087301587302,35.3668087580634,5.888888888888889,16.037037037037038
0.01,217,505,25.17768398268398,38.69560924369748,6.181818181818182,15.76923076923077
0.01,150,572,24.66531746031746,35.79687412976887,4.5625,18.423076923076923
0.0205,3,2,33.1,0.0,0.0,0.0
0.0205,9,607,2.9,33.446421791905166,0.0,18.576923076923077
0.0205,324,665,11.247636730465839,33.62698616570873,10.05,20.192307692307693
0.0205,212,633,8.967420634920634,34.48071352210202,6.0625,19.615384615384617
0.0205,20,58,8.5,35.13333333333333,0.0,1.0952380952380953
0.0205,1,653,0.0,31.982516057218646,0.0,19.846153846153847
0.0205,320,686,10.073870879120879,34.6523169820243,9.136363636363637,21.153846153846153
0.0205,579,643,15.988680361395879,35.50561148493214,19.0,19.692307692307693
0.0205,4,597,0.5,33.71517008276725,0.0,18.64
0.0205,279,93,16.0393175451999,50.025,8.0,2.5652173913043477
0.0205,228,3,14.129710289710292,4.5,7.857142857142857,0.0
0.0205,13,92,14.5,36.1,0.0,2.6666666666666665
0.0205,1,657,0.0,33.907223668202,0.0,20.076923076923077
0.0205,3,616,0.0,36.250135917364815,0.0,19.08
0.0205,313,61,17.67964285714286,57.21,9.19047619047619,1.8125
0.0205,334,699,16.949758721670488,33.460585270911885,9.304347826086957,22.84
0.0205,1,5,0.0,0.0,0.0,0.0
0.0205,253,29,33.44933483183483,16.4,6.571428571428571,0.0
0.0205,250,671,13.492014652014651,33.94070200570427,6.238095238095238,20.807692307692307
0.0205,218,7,23.11279411764706,9.1,6.733333333333333,0.0
0.0311,437,716,19.048487750172534,31.33865290137887,12.545454545454545,22.12
0.0311,246,681,23.524285714285714,32.634308613835216,6.285714285714286,19.692307692307693
0.0311,362,733,16.813672357054706,31.6358376014688,9.333333333333334,21.576923076923077
0.0311,318,728,19.516464646464648,32.51909341028794,7.55,22.08
0.0311,441,677,17.58502769289534,32.402132855183055,11.73913043478261,20.16
0.0311,543,683,21.520261613630034,33.01460256036718,15.833333333333334,20.6
0.0311,429,662,21.754177489177486,35.06280882910193,12.380952380952381,19.44
0.0311,280,724,32.20446546917135,31.84803431591431,6.666666666666667,21.72
0.0311,241,750,21.92653846153846,35.87033504284348,4.705882352941177,22.384615384615383
0.0311,438,726,13.957458756077685,33.997442478814584,11.869565217391305,21.84
0.0311,255,741,5.980357142857143,31.754779433009627,5.9375,21.615384615384617
0.0311,313,700,16.60510323010323,34.87250605248246,7.65,20.576923076923077
0.0311,316,675,18.301171679197996,33.05501275336358,7.9,19.96
0.0311,258,717,24.178809523809527,33.19278214748778,5.2631578947368425,21.52
0.0311,248,703,19.07111111111111,32.99714320413328,6.285714285714286,20.692307692307693
0.0311,230,714,17.65888888888889,31.36525969342747,4.466666666666667,21.92
0.0311,270,746,15.673273393273394,32.123893169790605,6.75,21.923076923076923
0.0311,467,735,18.5274312766678,31.823487992201972,12.625,21.73076923076923
0.0311,344,685,9.883968253968254,33.954521907756664,8.619047619047619,19.0
0.0311,355,704,22.26597168354521,34.01974691686177,8.772727272727273,20.307692307692307
0.0416,382,722,20.54160109498345,32.60646365330575,8.285714285714286,18.85185185185185
0.0416,348,805,9.686412443765384,31.833360217588687,7.7368421052631575,21.925925925925927
0.0416,499,772,20.630217705000312,29.913826670812888,12.0,22.2
0.0416,491,759,16.187343653250775,31.512944492457194,12.565217391304348,20.96153846153846
0.0416,190,774,2.7666666666666666,31.413855227708513,0.0,21.807692307692307
0.0416,405,775,16.830284160284158,32.0251001935188,9.666666666666666,22.48
0.0416,346,788,18.379166666666666,32.212921468050396,6.9,22.153846153846153
0.0416,641,774,13.261836372476854,32.0179316979317,17.44,21.653846153846153
0.0416,196,753,5.0,32.43138738712268,0.0,21.68
0.0416,345,757,13.848168914418915,31.666255746179367,7.473684210526316,20.807692307692307
0.0416,441,780,21.141351306351304,32.22220226733544,11.333333333333334,22.44
0.0416,465,773,21.455917970147716,33.27776431498609,11.636363636363637,22.36
0.0416,314,801,13.55355006105006,32.45198778195489,5.947368421052632,22.576923076923077
0.0416,511,798,20.671889943561773,31.563083262602635,12.708333333333334,22.115384615384617
0.0416,350,751,12.7780173992674,30.643558967602452,7.842105263157895,21.4
0.0416,543,773,15.325522652150799,31.43666666223847,15.318181818181818,22.28
0.0416,561,777,18.539983521854488,31.974708507972327,15.521739130434783,22.52
0.0416,279,783,19.79138888888889,32.33673688371964,4.352941176470588,22.44
0.0416,312,748,24.758484848484848,32.87163814280006,6.470588235294118,21.12
0.0416,321,787,28.846103896103898,32.37992574221566,5.9,21.807692307692307
0.0521,412,789,29.104936174936178,31.601433632980424,7.590909090909091,20.615384615384617
0.0521,421,833,7.524612000902323,31.635087774253485,8.380952380952381,22.307692307692307
0.0521,422,842,14.925049533799534,31.50468994851467,8.65,22.576923076923077
0.0521,623,821,19.374498556998553,32.371061837953576,15.04,22.6
0.0521,517,768,16.884196873538976,31.099561570566067,13.789473684210526,20.28
0.0521,336,818,26.26928571428571,33.386123008030616,6.615384615384615,21.96
0.0521,499,816,18.77602813852814,33.27401439137914,11.714285714285714,21.26923076923077
0.0521,364,787,20.94345571095571,32.506557590856396,5.894736842105263,20.8
0.0521,413,825,10.38484126984127,31.405866951945107,7.681818181818182,22.56
0.0521,531,829,17.109989977772486,31.613707484579276,12.217391304347826,22.56
0.0521,693,793,15.723081859558937,32.863929317889706,18.5,20.692307692307693
0.0521,474,807,15.709216156818457,33.034227557470004,9.91304347826087,21.384615384615383
0.0521,442,828,12.542763157894736,31.412357461229497,8.909090909090908,22.115384615384617
0.0521,351,834,21.44281746031746,32.98412472407847,6.933333333333334,21.884615384615383
0.0521,612,805,16.32365060378218,30.831656437987533,14.958333333333334,20.444444444444443
0.0521,658,813,12.32328896412728,31.814430280925603,17.73913043478261,21.76
0.0521,451,822,12.355185185185185,32.99786271930567,9.181818181818182,21.22222222222222
0.0521,576,801,20.700613111303902,33.3588389223813,12.653846153846153,21.28
0.0521,484,806,11.967170703615803,32.21835134739195,11.428571428571429,21.76
0.0521,453,810,15.864003267973853,30.95969719013197,9.272727272727273,21.653846153846153
0.0626,564,850,27.937844352929496,32.374252496842324,12.0,21.423076923076923
0.0626,614,865,23.97230148830718,32.62441548601877,14.043478260869565,21.653846153846153
0.0626,420,858,13.576534494916848,32.03176616706547,7.705882352941177,21.653846153846153
0.0626,491,864,15.735858308358308,31.910132442609154,9.523809523809524,22.4
0.0626,341,845,22.383333333333333,32.48127605108091,4.076923076923077,21.23076923076923
0.0626,536,859,15.68567741469057,31.350722177064277,10.73913043478261,22.28
0.0626,410,811,17.064072871572872,32.235972145685125,6.315789473684211,19.615384615384617
0.0626,539,850,15.759045639995128,32.22129260950469,11.857142857142858,21.0
